net_id,cluster
10,0
15,0
20,0
35,0
40,0
50,0
60,0
601,0
61,0
101,3
103,3
105,3
107,3
109,3
111,3
113,3
115,3
117,3
119,3
120,0
121,4
123,0
125,4
127,4
129,0
131,4
139,4
141,4
143,4
145,4
147,4
149,4
151,4
153,4
157,3
159,3
161,3
163,3
164,0
166,1
167,1
169,0
171,1
173,0
177,1
179,0
181,0
183,0
184,0
185,1
187,0
189,1
191,1
193,1
195,0
197,3
199,1
201,2
203,0
204,0
205,1
206,0
207,2
208,0
209,2
211,2
213,2
215,2
217,2
219,2
225,2
229,2
231,2
237,2
239,2
241,0
243,2
247,2
249,0
251,2
253,2
255,2
257,0
259,0
261,0
263,0
265,0
267,0
269,0
271,0
273,0
275,0
