Hour,20Q,40Q,50Q,159Q,325Q,1L,2L,3L,RiverH,LakeH,10F,335F,10B,61B,10C,335C
0,-896.176387515528,-647.746792821595,689.127878176798,17.1937452796502,-162.987866437456,145,140,158,220,167,0,13274.4431634686,-18.5758882326513,128.591919407369,0,1
1,-3128.25082559117,-1567.0000613221,149.926368443637,-54.260037983943,15.5731759279694,145.844497680664,137.202529907227,158.36491394043,220,167,3766.32425394731,12968.1206643024,38.4988166849665,129.977051826706,1,1
2,-3721.13641365832,-1774.46520782827,-86.9049602813124,-77.0736912384144,45.8293015939269,148.245330810547,136.399185180664,159.575714111328,220,167,3510.71323051068,12819.1587360171,40.1537918269137,130.075699880645,1,1
3,-4481.87415531369,-1980.708215812,-362.460913102874,-119.21247368407,73.2618547099965,150.816619873047,136.819091796875,160.992126464844,220,167,3086.26916240303,11931.9713306546,40.1218202451212,132.839076839236,1,1
4,-989.954951659675,-1282.86692423739,-306.099467534135,-14.0483750397863,55.2880741872219,152.676696777344,137.653533935547,161.262069702148,220,167,3419.84839745609,7825.21185136919,39.6310356435064,90.8300112356814,1,0
5,-434.17517525862,-810.107067268814,-110.712774643526,-1.94936332510544,26.3001631621696,154.42887878418,138.966430664062,161.675659179688,220,167,3676.34049560713,7455.15953083609,40.297962844475,96.5016357098933,1,0
6,168.958476979821,161.984570469678,350.896449496112,12.2681397787284,-83.3767737707877,155.608413696289,139.470520019531,161.923049926758,220,167,3873.43490195847,7779.10294848099,39.0316294116014,95.7605832427585,1,0
7,-467.961505982723,-484.741028036478,43.9889543203055,0.955092125462293,-18.4853741963779,155.491546630859,138.165481567383,161.841995239258,220,167,3554.50952568736,7444.38896213976,39.4817309690523,89.7220692324303,1,0
8,-1107.69318165249,-634.682143049176,-159.191372003591,-3.96269368429513,35.3347740489548,156.267349243164,137.969924926758,162.021408081055,220,167,3496.42436005374,7773.00721744096,37.9120880706389,95.1307708409225,1,0
9,-1229.13676142993,-777.324601895669,-273.836956495963,-14.1516260433934,28.4216178290923,157.327880859375,138.663864135742,162.402496337891,220,167,3483.97102834622,7311.9675494916,40.892844890804,90.5675731493782,1,0
10,-1633.42029528079,-959.408278699946,-337.515568862925,-25.911052513022,46.1053255894808,158.3798828125,139.774078369141,162.833389282227,220,167,3479.09301942211,8403.95653565029,39.0727374025343,91.9090017821247,1,0
11,-1749.91294725035,-839.484592143459,-454.219872062974,-27.265065167163,45.3010745655268,159.657836914062,141.279083251953,163.460586547852,220,167,3474.90427232859,7368.17222469002,37.3322744016515,90.1205763653852,1,0
12,-2312.50888067577,-1018.16429548474,-519.523142800388,-54.3601678216347,52.1771757776715,160.886993408203,143.007019042969,164.130493164062,220,167,3334.82613762692,7074.29542847129,39.7813037923853,93.9005636960067,1,0
13,-2664.14774101814,-1138.05605489377,-518.83392291459,-65.6623904265734,59.139178702157,162.276260375977,144.962219238281,164.99609375,220,167,3091.52262565411,7720.96735980135,40.5614382140193,94.3233841292992,1,0
14,-2122.1475149078,-797.484458763825,-463.205943252382,-47.6588901503741,35.8877134834006,163.767944335938,147.014007568359,165.994476318359,220,167,3001.37608548365,7864.81084322652,36.7389123295699,96.5682995895537,1,0
15,783.373820627494,1024.70805105027,-42.7681504188223,7.44942326275925,-151.785802566278,164.902359008789,148.747955322266,166.832855224609,220,167,0,6809.93112944587,1.78704190218733,91.8335234916331,0,0
16,1708.43475563159,1202.88837677565,298.52300068824,22.2799107923252,-174.570100001408,163.480117797852,148.877090454102,166.529342651367,220,167,0,7668.20838795292,-6.14401480793324,95.3864373410077,0,0
17,3304.95069686752,1588.20039854891,845.345831822502,44.0232496314568,-216.628104963381,161.842788696289,147.511825561523,165.875778198242,220,167,0,7690.80523154475,-19.0690806986493,94.777431658045,0,0
18,4812.89051267411,2125.10798420749,1156.05947751249,58.5396460926252,-255.648810944923,159.474624633789,144.045120239258,164.615921020508,220,167,0,8857.65223102061,-22.7189013379682,94.6014463701225,0,0
19,5442.77382092711,2289.34684891223,1319.37701447304,53.1659251907517,-283.9294600161,156.396072387695,139.187515258789,162.782470703125,220,167,0,9057.85182808261,-26.6591735776336,92.2420187131536,0,0
20,4689.06645754117,1911.60166395099,1041.61617432163,53.425588062519,-246.86991382486,153.048812866211,133.669555664062,160.690063476562,220,167,0,8337.91979855285,-26.154884405374,90.396133114826,0,0
21,3266.60553974801,1171.06113029806,363.104732017118,34.9153226626347,-196.735936611652,150.275436401367,129.556167602539,158.866989135742,220,167,0,8598.07409050495,-13.4492786479726,92.3596081437427,0,0
22,-2142.70227013939,-451.598795649342,-130.760451819829,-16.5584873501306,-130.028053846407,148.828964233398,128.128845214844,158.016525268555,220,167,0,13454.2254536932,-5.70481837491449,129.197252412748,0,1
23,-3000.75080713268,-993.980750424073,-345.076338939034,-37.2227497065949,-81.5063970939208,149.647720336914,128.706115722656,158.836853027344,220,167,0,13554.5534055517,-2.03882362323379,131.19609397682,0,1
24,842.449566704432,-618.155730050647,-337.548876644655,18.9685069373429,-90.1093461776012,151.038131713867,130.203720092773,159.815322875977,220,167,0,7332.23309321555,-4.4997253944621,93.3471759985851,0,0
25,-1383.43939937251,-1181.23817757801,-464.724252026488,-17.9936447432873,52.2890820170191,151.821624755859,131.643630981445,159.536437988281,220,167,3657.67824423221,7093.82739927681,36.6731547600658,97.9774479417011,1,0
26,-926.228835139907,-888.293531485045,-303.966439335873,-8.14903384392664,39.1261678108879,153.49137878418,133.375350952148,160.059783935547,220,167,3566.45626927163,7861.75461000174,40.8441451865414,89.489037562425,1,0
27,-618.447912258245,-586.120132529833,-166.079516723803,-6.72655146301788,13.190334168509,154.70166015625,134.540420532227,160.404708862305,220,167,3543.97710636031,7665.74077050568,33.5759141298012,91.4298964783708,1,0
28,-452.39023417208,-316.176838727933,-148.401275502664,-6.80954842072252,-10.5957259588229,155.503173828125,135.265411376953,160.614669799805,220,167,3915.70104749809,6961.69048075396,40.387878321275,91.8262567570444,1,0
29,242.200860252138,484.596120055164,147.083843808104,3.26793714690594,-86.0031136260493,155.958541870117,135.836227416992,160.748565673828,220,167,3716.2593893441,8179.38877268541,35.748831753444,92.030979782984,1,0
30,1351.80975405931,910.482910957093,568.245253410186,17.9895358892947,-136.161968535993,155.344619750977,135.363632202148,160.680145263672,220,167,3453.00818997878,7238.14281379202,36.2706761520731,86.6934339458476,1,0
31,1201.72890168699,669.54166528087,380.741635796055,12.9923494602841,-114.118567526591,154.098678588867,133.028945922852,160.177398681641,220,167,3502.41997814288,7936.7063332381,31.082207352683,94.4622926527436,1,0
32,961.921522032558,324.584649960515,252.720922783274,-6.80832539258146,-97.6788114418685,153.212783813477,131.432418823242,159.709182739258,220,167,3902.66038106715,8541.31467127662,37.3446768587388,89.7944991222158,1,0
33,833.146821481139,94.8306266833871,91.6129585544651,-0.545704820108643,-79.3782928865713,152.778274536133,130.443801879883,159.323837280273,220,167,3844.4158847596,7899.41903835522,36.0233125816361,91.1385636677115,1,0
34,59.511685668781,-475.950605719666,-158.554415153786,5.46571259544914,-3.61168856949446,152.629791259766,130.058532714844,158.992492675781,220,167,3640.01522297118,8426.44912705543,40.9835325137316,95.2023501379491,1,0
35,-753.71372430082,-716.349692566705,-331.585274464183,-7.78826524641087,39.3015547821137,153.324935913086,130.682113647461,158.996429443359,220,167,3786.84378242374,8028.27408421569,36.5836698710806,94.2200813370236,1,0
36,-1494.44337603824,-860.611664561643,-389.953449508566,-21.8266238372361,40.847016600042,154.317001342773,132.099334716797,159.288269042969,220,167,3573.36140962172,8097.44610454294,38.0321264845109,87.8310207884576,1,0
37,-1793.72459919064,-908.532543514924,-501.006321004993,-35.5865708221602,46.37403496799,155.476577758789,133.766586303711,159.822784423828,220,167,3312.10627734414,7996.56990011233,35.2297058373435,100.248298463912,1,0
38,-2099.21624950816,-927.197622523474,-561.313253080203,-40.9147289589782,52.8203593946834,156.824676513672,135.803848266602,160.571334838867,220,167,3315.13146619657,7836.56478695558,36.505157111075,93.340971983453,1,0
39,412.530668697842,885.435239593949,-239.192390755351,10.2173077009556,-138.900242833205,158.157150268555,137.986312866211,161.373031616211,220,167,0,8134.39243419434,-3.99154335300871,95.3327779551936,0,0
40,1258.57650244979,915.47496492034,87.345413459365,12.462882951939,-165.23467062297,157.005126953125,138.931671142578,161.183837890625,220,167,0,7160.86676442611,-6.83411887799629,89.8525936409208,0,0
41,2541.07376524738,1330.45339424799,537.384847144086,28.6059282901084,-206.064836211275,155.66276550293,138.55436706543,160.679138183594,220,167,0,8533.14346583249,-11.2208577412077,96.2150959462292,0,0
42,3442.44274476924,1641.93570160336,842.586339779702,31.3254190127422,-222.669416882075,153.783813476562,136.221374511719,159.712799072266,220,167,0,8416.65989170629,-12.9808449070235,100.274302227481,0,0
