Hour,20Q,40Q,50Q,215Q,247Q,191Q,271Q,161Q,1L,2L,3L,RiverH,LakeH,10F,335F,10B,61B,10C,335C
0,-896.176387515528,-647.746792821595,689.127878176798,-825.071149818524,571.990010897428,-2180.89672639551,139.981756647496,-97.5733547129286,145,140,158,220,167,0,13274.4431634686,-18.5758882326513,128.591919407369,0,1
1,-3128.25082559117,-1567.0000613221,149.926368443637,34.4760531056733,553.037513675412,-2192.85276324658,61.0291187634721,-171.16058038618,145.844497680664,137.202529907227,158.36491394043,220,167,3766.32425394731,12968.1206643024,38.4988166849665,129.977051826706,1,1
2,-3721.13641365832,-1774.46520782827,-86.9049602813124,143.975883708132,492.338504330964,-2040.50877080243,-21.8288567622698,-178.176909305593,148.245330810547,136.399185180664,159.575714111328,220,167,3510.71323051068,12819.1587360171,40.1537918269137,130.075699880645,1,1
3,-4481.87415531369,-1980.708215812,-362.460913102874,284.220483647906,377.04513232766,-2007.66413196068,-88.0913897991217,-210.371448498621,150.816619873047,136.819091796875,160.992126464844,220,167,3086.26916240303,11931.9713306546,40.1218202451212,132.839076839236,1,1
4,-989.954951659675,-1282.86692423739,-306.099467534135,312.75385353033,306.708385053799,-1445.87537535596,-73.0791322184777,-105.03353360676,152.676696777344,137.653533935547,161.262069702148,220,167,3419.84839745609,7825.21185136919,39.6310356435064,90.8300112356814,1,0
5,-434.17517525862,-810.107067268814,-110.712774643526,77.5243206629496,421.713533731421,-1350.40799397617,-32.9256624693933,-91.1657032039555,154.42887878418,138.966430664062,161.675659179688,220,167,3676.34049560713,7455.15953083609,40.297962844475,96.5016357098933,1,0
6,168.958476979821,161.984570469678,350.896449496112,-217.652342802601,605.497928691785,-1085.99752251676,77.1253926280345,-74.4848896825834,155.608413696289,139.470520019531,161.923049926758,220,167,3873.43490195847,7779.10294848099,39.0316294116014,95.7605832427585,1,0
7,-467.961505982723,-484.741028036478,43.9889543203055,-90.1507120815687,503.689464544025,-1259.4013465198,8.34560406760958,-79.3705753975887,155.491546630859,138.165481567383,161.841995239258,220,167,3554.50952568736,7444.38896213976,39.4817309690523,89.7220692324303,1,0
8,-1107.69318165249,-634.682143049176,-159.191372003591,123.917796114478,394.920971754472,-1068.63580812164,-42.692192928322,-81.4975989464512,156.267349243164,137.969924926758,162.021408081055,220,167,3496.42436005374,7773.00721744096,37.9120880706389,95.1307708409225,1,0
9,-1229.13676142993,-777.324601895669,-273.836956495963,61.6879547513882,411.181930704027,-984.686826206807,-64.2347435766058,-102.435101066923,157.327880859375,138.663864135742,162.402496337891,220,167,3483.97102834622,7311.9675494916,40.892844890804,90.5675731493782,1,0
10,-1633.42029528079,-959.408278699946,-337.515568862925,230.216209843521,369.050599936827,-979.424496433422,-96.62197387274,-118.97677943713,158.3798828125,139.774078369141,162.833389282227,220,167,3479.09301942211,8403.95653565029,39.0727374025343,91.9090017821247,1,0
11,-1749.91294725035,-839.484592143459,-454.219872062974,247.468759558242,349.077819322819,-934.341343607733,-100.521130507566,-118.458047901563,159.657836914062,141.279083251953,163.460586547852,220,167,3474.90427232859,7368.17222469002,37.3322744016515,90.1205763653852,1,0
